ABC,SPECIES/GROUP,COMPOSITION,TAXON,SA species (Y/N),National Bycatch species
181,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)",BARRELFISH,Hyperoglyphe perciformis,,Y
182,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)",HARVESTFISH,Peprilus paru,,Y
183,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)","REMORA, UNC",Echeneidae ,,Y
184,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)","SNAKE MACKEREL, UNC",Gempylidae,,Y
185,"PERCIFORMES, OTHER (PELAGIC) (ORDER: Perciformes)",TRIPLETAIL,Lobotes surinamensis,,Y
186,PIGFISH,Individual,Orthopristis chrysoptera,,Y
187,PILOTFISH,Individual,Naucrates ductor ,,Y
188,PINFISH,Individual,Lagodon rhomboides,,Y
189,PIPEFISHES (DEMERSAL) (ORDER: Gasterosteiformes),LONGSPINE SNIPEFISH,Macroramphosus scolopax ,,Y
190,PIPEFISHES (DEMERSAL) (ORDER: Gasterosteiformes),SLENDER SNIPEFISH,Macroramphosus gracilis,,Y
191,PIPEFISHES (DEMERSAL) (ORDER: Gasterosteiformes),"SNIPEFISH, UNC",Centriscidae ,,Y
192,PIPEFISHES (PELAGIC) (ORDER: Gasterosteiformes),BLUESPOTTED CORNETFISH,Fistularia tabacaria,,Y
193,PIPEFISHES (PELAGIC) (ORDER: Gasterosteiformes),"PIPEFISH/SEAHORSE, UNC",Syngnathidae,,Y
195,PORBEAGLE SHARK,Individual,Lamna nasus,,Y
196,"PORGY, UNC",Unclassified Porgy Species,Sparidae,,Y
197,QUAHOG (HARD SHELL CLAM),Individual,Mercenaria mercenaria,,Y
198,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",ATLANTIC ARGENTINE,Argentinidae,,Y
199,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",ATLANTIC BATFISH,Dibranchus atlanticus,,Y
200,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",ATLANTIC SILVERSIDE,Menidia menidia,,Y
201,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","BATFISH, UNC",Ogcocephalidae,,Y
202,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",BEARDFISH,Polymixia lowei,,Y
203,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",BIG ROUGHY,Gephyroberyx darwinii,,Y
204,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",CARP,Cyprinus carpio,,Y
205,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",CONGER EEL,Conger oceanicus,,Y
206,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","CUSK-EEL, UNC",Ophidiidae ,,Y
207,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","EEL, UNC",Anguilliformes,,Y
208,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",LIZARDFISH,Synodontidae ,,Y
209,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",RED EYE GAPER,Chaunax stigmaeus,,Y
210,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","ROUGHY, UNC",Trachichthyidae,,Y
211,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","SILVERSIDE, UNC",Atherinidae,,Y
212,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",SQUIRRELFISHES,Holocentridae,,Y
213,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",STRIPED MULLET,Mugil cephalus,,Y
214,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)","STURGEONS, UNC",Acipenseridae,,Y
215,"RAY-FINNED FISHES, OTHER (DEMERSAL) (CLASS: Actinopterygii)",TOADFISHES,Batrachoididae,,Y
216,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",ATLANTIC NEEDLEFISH,Strongylura marina,,Y
217,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",ATLANTIC SAURY,Scomberesox saurus,,Y
218,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",CAPELIN,Mallotus villosus,,Y
219,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",GARFISHES,Lepisosteidae,,Y
220,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",HOUNDFISH,Tylosurus crocodilus,,Y
221,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",LADYFISH,Elops saurus,,Y
222,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)","LANTERNFISH, UNC",Myctophidae ,,Y
223,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",RAINBOW SMELT,Osmerus mordax,,Y
224,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)","RIBBONFISH, UNC",Trachipteridae,,Y
225,"RAY-FINNED FISHES, OTHER (PELAGIC) (CLASS: Actinopterygii)",SLENDER SNIPE EEL,Nemichthys scolopaceus,,Y
226,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)",BULLNOSE RAY,Myliobatis freminvillii,,Y
227,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)","BUTTERFLY RAY, UNC",Gymnura,,Y
228,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)",COWNOSE RAY,Rhinoptera bonasus,,Y
229,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)","EAGLE RAY, UNC",Myliobatidae ,,Y
230,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)",SMOOTH BUTTERFLY RAY,Gymnura micrura,,Y
231,"RAYS, OTHER (DEMERSAL) (ORDER: Myliobatiformes)",SPINY BUTTERFLY RAY,Gymnura altavela,,Y
232,"RAYS, OTHER (PELAGIC) (ORDER: Myliobatiformes)",ATLANTIC MANTA RAY,Manta birostris,,Y
233,"RAYS, OTHER (PELAGIC) (ORDER: Myliobatiformes)",DEVIL RAY,Mobula hypostoma,,Y
234,"RAYS, OTHER (PELAGIC) (ORDER: Myliobatiformes)","MANTA RAY, UNC",Mobulidae,,Y
236,RED DRUM,Individual,Sciaenops ocellatus,,Y
238,RED SNAPPER,Individual,Lutjanus campechanus,,Y
