"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"RED CRAB","620992","710",515,"stock","UNIT",1
"RED HAKE","164730","152",515,"stock","NORTHERN",1
"REDFISH","166774","240",515,"stock","UNIT",1
"SCALLOP, SEA","079718","800",515,"stock","UNIT",1
"SCUP","169182","329",515,"stock","UNIT",1
"SILVER HAKE","164791","509",515,"stock","NORTHERN",1
"SKATE, BARNDOOR","564139","368",515,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",515,"stock","UNIT",1
"SKATE, LITTLE","564130","366",515,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",515,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",515,"stock","UNIT",1
"SKATE, THORNY","564149","370",515,"stock","UNIT",1
"SKATE, WINTER","564145","367",515,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",515,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",515,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",515,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",515,"stock","UNIT",1
"WINDOWPANE","172746","125",515,"stock","GBGOM",1
"WINTER FLD","172905","120",515,"stock","GOM",1
"WITCH FLD","172873","122",515,"stock","UNIT",1
"WOLFFISH","171341","512",515,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",515,"stock","CCGOM",1
"ALEWIFE","161706","001",520,"stock","UNIT",1
"AM SHAD","161702","347",520,"stock","UNIT",1
"AMERICAN PLAICE","172877","124",520,"stock","UNIT",1
"BLACK SEA BASS","167687","335",520,"stock","UNIT",1
"BLUEFISH","168559","023",520,"stock","UNIT",1
"BUTTERFISH","172567","051",520,"stock","UNIT",1
"CHUB MACKEREL","172413","215",520,"stock","UNIT",1
"CLAM, SURF","080944","769",520,"stock","UNIT",1
"COD","164712","081",520,"stock","GB",1
"DOGFISH, SPINY","160617","352",520,"stock","UNIT",1
"FLUKE","172735","121",520,"stock","UNIT",1
"HADDOCK","164744","147",520,"stock","GB",1
"HAKE, WHITE","164732","153",520,"stock","UNIT",1
"HALIBUT","172933","159",520,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",520,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",520,"stock","UNIT",1
"NBR spp (300+)",NA,NA,520,"stock","UNIT",1
"OCEAN POUT","630979","250",520,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",520,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",520,"stock","UNIT",1
"RED CRAB","620992","710",520,"stock","UNIT",1
"REDFISH","166774","240",520,"stock","UNIT",1
"SCALLOP, SEA","079718","800",520,"stock","UNIT",1
"SCUP","169182","329",520,"stock","UNIT",1
"SKATE, BARNDOOR","564139","368",520,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",520,"stock","UNIT",1
"SKATE, LITTLE","564130","366",520,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",520,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",520,"stock","UNIT",1
"SKATE, THORNY","564149","370",520,"stock","UNIT",1
"SKATE, WINTER","564145","367",520,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",520,"stock","UNIT",1
