SPECIES_ITIS,AREA_NAME,COMMON_NAME,CAMS_GEAR_GROUP,Discard_Mortality_Ratio
166774,MA,REDFISH,58,1
166774,NE,REDFISH,58,1
166774,MA,REDFISH,59,1
166774,NE,REDFISH,59,1
166774,MA,REDFISH,100,1
166774,NE,REDFISH,100,1
166774,MA,REDFISH,121,1
166774,NE,REDFISH,121,1
166774,MA,REDFISH,131,1
166774,NE,REDFISH,131,1
166774,MA,REDFISH,132,1
166774,NE,REDFISH,132,1
79718,GB,"SCALLOP, SEA",52,1
79718,GOM,"SCALLOP, SEA",52,1
79718,MA,"SCALLOP, SEA",52,1
79718,GB,"SCALLOP, SEA",132,1
79718,GOM,"SCALLOP, SEA",132,1
79718,MA,"SCALLOP, SEA",132,1
169182,by stat area,SCUP,50,1
169182,S_700s,SCUP,50,1
164791,NORTHERN,SILVER HAKE,10,1
164791,SOUTHERN,SILVER HAKE,10,1
164791,NORTHERN,SILVER HAKE,50,1
164791,SOUTHERN,SILVER HAKE,50,1
164791,NORTHERN,SILVER HAKE,58,1
164791,SOUTHERN,SILVER HAKE,58,1
164791,NORTHERN,SILVER HAKE,100,1
164791,SOUTHERN,SILVER HAKE,100,1
164791,NORTHERN,SILVER HAKE,132,1
164791,SOUTHERN,SILVER HAKE,132,1
564139,GBK,"SKATE, BARNDOOR",10,0.5
564139,GOM,"SKATE, BARNDOOR",10,0.5
564139,MA,"SKATE, BARNDOOR",10,0.5
564139,SNE,"SKATE, BARNDOOR",10,0.5
564139,GBK,"SKATE, BARNDOOR",50,0.5
564139,GOM,"SKATE, BARNDOOR",50,0.5
564139,MA,"SKATE, BARNDOOR",50,0.5
564139,SNE,"SKATE, BARNDOOR",50,0.5
564139,GBK,"SKATE, BARNDOOR",58,0.5
564139,GOM,"SKATE, BARNDOOR",58,0.5
564139,MA,"SKATE, BARNDOOR",58,0.5
564139,SNE,"SKATE, BARNDOOR",58,0.5
564139,GBK,"SKATE, BARNDOOR",100,0.5
564139,GOM,"SKATE, BARNDOOR",100,0.5
564139,MA,"SKATE, BARNDOOR",100,0.5
564139,SNE,"SKATE, BARNDOOR",100,0.5
564139,GBK,"SKATE, BARNDOOR",132,0.5
564139,GOM,"SKATE, BARNDOOR",132,0.5
564139,MA,"SKATE, BARNDOOR",132,0.5
564139,SNE,"SKATE, BARNDOOR",132,0.5
160855,GBK,"SKATE, CLEARNOSE",10,0.5
160855,GOM,"SKATE, CLEARNOSE",10,0.5
160855,MA,"SKATE, CLEARNOSE",10,0.5
160855,SNE,"SKATE, CLEARNOSE",10,0.5
160855,GBK,"SKATE, CLEARNOSE",50,0.5
160855,GOM,"SKATE, CLEARNOSE",50,0.5
